name,macronutrients
"Alcoholic beverage, wine, light","[{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":1.17},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.07},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":206},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":49}]"
"Alcoholic beverage, daiquiri, prepared-from-recipe","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.06},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":777},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.06},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":6.94},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":186}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1230},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":295}]"
"Alcoholic beverage, daiquiri, canned","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":523},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":15.7},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":125}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":967},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":231},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0}]"
A Low-Starch and High-Fiber Diet Intervention Impacts the Microbial Community of Raw Bovine Milk,null
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":250},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1050}]"
Abalone,"[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":21.2},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":6.12},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":7.46},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":177}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":263},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1100}]"
"Abiyuch, raw","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":290},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":17.6},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":69},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":1.5}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1150},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":275},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0}]"
"Acerola juice, raw","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":96},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":23},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.4},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":4.8}]"
"Alcoholic beverage, distilled, rum, 80 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":967},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":231}]"
"Acerola, (west indian cherry), raw","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":134},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":7.69},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":32},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.4}]"
"Alcoholic beverage, distilled, vodka, 80 proof","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":231},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":967}]"
"Alcoholic beverage, distilled, whiskey, 86 proof","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":250},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1050}]"
Acorn stew (Apache),"[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":6.81},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":399},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":3.47},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":9.22},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":95}]"
Adequate vitamin B12 and folate status of Norwegian vegans and vegetarians,null
"Alcoholic beverage, liqueur, coffee with cream, 34 proof","[{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":327},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1370},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":15.7},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":20.9},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":2.8}]"
"Adobo, with noodles","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":16.9},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":7.66},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":8.14},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":172}]"
"Alcoholic beverage, liqueur, coffee, 53 proof","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":336},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1410},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":46.8}]"
"Alcoholic beverage, beer, light","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":1.64},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":29},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":123},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.24}]"
"Alcoholic beverage, liqueur, coffee, 63 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1290},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":32.2},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":308},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.1}]"
"Alcoholic beverage, beer, light, BUD LIGHT","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.25},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":123},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":1.3},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":29}]"
"Alcoholic beverage, malt beer, hard lemonade","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":10.1},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":284},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":68}]"
"Alcoholic beverage, beer, light, BUDWEISER SELECT","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.87},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":28},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.2},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":117}]"
"Alcoholic beverage, pina colada, canned","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":992},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":27.6},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":237},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":7.6},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.6}]"
"Alcoholic beverage, beer, light, higher alcohol","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.25},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":191},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.77},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":46}]"
"Alcoholic beverage, pina colada, prepared-from-recipe","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":1.88},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":22.7},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":174},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.42},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":728}]"
"Alcoholic beverage, beer, light, low carb","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.17},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":112},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.73},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":27}]"
"Alcoholic beverage, rice (sake)","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":5},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":134},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":561},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.5}]"
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":18.6},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.9},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":21.7},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1080},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":258}]"
"Alcoholic beverage, beer, regular, all","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":181},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.46},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":3.55},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":43},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0}]"
"Alcoholic beverage, tequila sunrise, canned","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":460},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":11.3},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":110}]"
"Alcoholic beverage, beer, regular, BUDWEISER","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":2.97},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":41},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.36},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":170}]"
"Alcoholic beverage, whiskey sour","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":623},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":149},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.03},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":13.2}]"
"Alcoholic beverage, creme de menthe, 72 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1550},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":41.6},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":371}]"
"Adobo, with rice","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":17.7},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":7.94},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":8.86},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":181}]"
"Alcoholic beverage, whiskey sour, canned","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":498},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":13.4},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":119}]"
"Alcoholic beverage, whiskey sour, prepared from item 14028","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.06},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":638},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.06},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":12.8},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":153}]"
"Agave, raw (Southwest)","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.52},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":286},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.15},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":16.2},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":68}]"
"Agave, dried (Southwest)","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":1.71},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1430},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.69},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":82},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":341}]"
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":684},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.02},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":15.8},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":164}]"
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":43.5},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":10.5},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":470},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":9},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1960}]"
Agave liquid sweetener,"[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.09},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.45},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":76.4},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":310}]"
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":3.4},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1480},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":31.8},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":13.4},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":353}]"
"Agave, cooked (Southwest)","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.29},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":32},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":135},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":563},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.99}]"
"Alcoholic beverage, wine, dessert, dry","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.2},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":638},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":11.7},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":152}]"
"Alcoholic beverage, wine, dessert, sweet","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.2},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":671},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":13.7},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":160}]"
"Alcoholic beverage, wine, cooking","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":209},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":6.3},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":50},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.5},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0}]"
